,0,1,difference,rf_importance,lr_coef_abs
thalach,139.1302605210421,158.58555133079847,19.455290809756377,0.35205386608714373,1.0012313014293581
age,56.569138276553105,52.40874524714829,-4.1603930294048155,0.26634049476083915,0.1194685426737688
chol,251.2925851703407,240.97908745247148,-10.313497717869211,0.2097542082459641,0.1648057032053241
trestbps,134.1062124248497,129.24524714828897,-4.860965276560734,0.17185143090605312,0.304342290124141
sex,0.8276553106212425,0.5703422053231939,-0.2573131052980486,,
cp,0.48296593186372744,1.3783269961977187,0.8953610643339913,,
fbs,0.16432865731462926,0.13498098859315588,-0.029347668721473374,,
restecg,0.45691382765531063,0.5988593155893536,0.14194548793404294,,
exang,0.5490981963927856,0.13498098859315588,-0.4141172077996297,,
oldpeak,1.6002004008016033,0.5699619771863118,-1.0302384236152915,,
slope,1.1663326653306614,1.5931558935361216,0.42682322820546026,,
ca,1.1583166332665331,0.37072243346007605,-0.7875941998064571,,
thal,2.5390781563126255,2.1197718631178706,-0.4193062931947549,,
